descriptor,category,samples
Measurement temperature,1203,1
Measurement temperature,1183,1
Measurement temperature,850,1
Measurement temperature,510,1
Mn15Si26[001],Mn15Si26[001],1
Module operated temperature,hot side at 220 degree centigrade,2
Note,This sample is from literature.,1
Other,Paper,1
Peak efficiency,3.1 percent,2
PoreSize,nm,18
PoreSize,um,7
Porosity,%,86
Porosity,-,7
Purity,SinglePhase,10303
Purity,MainPhase,6896
Purity,Unknown,1708
Purity,Composite,767
Purity,Other,297
Purity,MetalComposite,222
Purity,Precipitates,132
Purity,Layer,88
Purity,EutecticComposite,20
Purity,core shell,18
Purity,alloy,3
Purity,blend,1
Ratio of electrolyte to cathode active material,muL*mg^(-1),2190
Reference electrode,Mg|Magnesium,543
Reference electrode,Na|Sodium,313
Reference electrode,Li|Lithium,58
Reference electrode,SCE|Saturated Calomel Electrode,28
Reference electrode,Ag/AgCl|Silver-Silver Chloride Electrode,18
Relative density,80,2
Relative density,79,2
Relative density,92,2
Relative density,91,2
Relative density,90,1
Relative density,95,1
Relative density,94,1
Relative density,78,1
Relative density,85,1
Relative density,81,1
RelativeDensity,=95%,893
RelativeDensity,%,837
RelativeDensity,>=90%,293
RelativeDensity,>=80%,145
RelativeDensity,Unknown,78
RelativeDensity,-,54
RelativeDensity,>=70%,35
RelativeDensity,>=60%,31
RelativeDensity,>=50%,11
RelativeDensity,>=40%,6
RelativeDensity,<30%,4
Saturation magnetization,72.96,1
Saturation magnetization,30,1
Saturation magnetization,47.272,1
Saturation magnetization,120,1
Separator,Other glass fiber separator,3634
Separator,Celgard 2400,2041
Separator,Celgard 2325,645
Separator,Other polypropylene membrane,454
Separator,Other Celgard,419
Separator,Celgard 2500,414
Separator,Celgard 3501,180
Separator,Whatman GF-B,176
Separator,Other polymer membrane,141
Solute 1,LiTFSI|LiTFSA|Lithium Bis(trifluoromethanesulfonyl)imide,6360
Solute 1,LiPF6|Lithium hexafluorophosphate,1889
Solute 1,NaClO4|Sodium perchlorate,863
Solute 1,MgTFSI2|MgTFSA2|Magnesium bis(trifluoromethanesulfonyl)imide,724
Solute 1,LiFSI|LiFSA|Lithium Bis(fluorosulfonyl)imide,547
Solute 1,AlCl3|Aluminium chloride,489
Solute 1,PhMgCl|Phenyl magnesium chloride,450
Solute 1,NaPF6|Sodium hexafluorophosphate,420
Solute 1,Mg[B(hfip)4]2|Magnesium tetrakis(hexafluoroisopropyloxy) borate,324
Solute 1,MgCl2|Magnesium chloride,125
Solute 1,LiCF3SO3|Lithium trifluoromethanesulfonate,121
Solute 1,Other alkyl magnesium chloride,111
Solute 1,MgHMDS2|Magnesium bis(hexamethyldisilazido),108
Solute 1,Mg(ClO4)2|Magnesium perchlorate,93
Solute 1,LiNO3|Lithium nitrate,75
Solute 1,MgTfO2|Magnesium triflate,69
Solute 1,Other magnesium borate,42
Solute 1,LiClO4|Lithium perchlorate,38
Solute 1,Mg(BH4)2|Magnesium borohydride,32
Solute 1,Other magnesium imide,32
Solute 1,LiTfO|Lithium triflate|Lithium Trifluoromethanesulfonate,18
Solute 1,Li2S8|Lithium octasulfide,15
Solute 1,Li2S6|Lithium hexasulfide,13
Solute 1,LiDFOB|Lithium difluoro(oxalato)borate,10
Solute 1,LiPS|Lithium polysulfide,6
Solute 1,MgI2|Magnesium iodide,5
Solute 1,Mg(BF4)2|Magnesium tetrafruoroborate,3
Solute 1,MgBr2|Magnesium bromide,2
Solute 1,EtMgCl|Ethyl magnesium chloride,1
Solute 2,LiNO3|Lithium nitrate,4030
Solute 2,AlCl3|Aluminium chloride,587
Solute 2,MgCl2|Magnesium chloride,369
Solute 2,PhMgCl|Phenyl magnesium chloride,312
Solute 2,LiTFSI|LiTFSA|Lithium Bis(trifluoromethanesulfonyl)imide,87
Solute 2,Other alkyl magnesium chloride,69
Solute 2,LiDFOB|Lithium difluoro(oxalato)borate,25
Solute 2,MgI2|Magnesium iodide,22
Solute 2,LiFSI|LiFSA|Lithium Bis(fluorosulfonyl)imide,19
Solute 2,LiClO4|Lithium perchlorate,19
Solute 2,LiPF6|Lithium hexafluorophosphate,15
Solute 2,LiTfO|Lithium triflate|Lithium Trifluoromethanesulfonate,14
Solute 2,LiBOB|Lithium bis(oxalato)borate,14
Solute 2,MgHMDS2|Magnesium bis(hexamethyldisilazido),13
Solute 2,Li2S6|Lithium hexasulfide,5
Solute 2,Mg(BH4)2|Magnesium borohydride,5
Solute 2,LiBH4|Lithium borohydride,5
Solute 2,LiDFOB|Lithium difluoro(oxalate)borate,5
Solute 2,LiBF4|	Lithium Tetrafluoroborate,3
Solute 2,I2,3
Solute 2,alpha-Lipoic-Acid,2
Solute 2,LiNO2|Lithium nitrite,1
Solute 2,Other magnesium imide,1
Solute 3,MgCl2|Magnesium chloride,45
Solute 3,LiTFSI|LiTFSA|Lithium Bis(trifluoromethanesulfonyl)imide,37
Solute 3,LiNO3|Lithium nitrate,26
Solute 3,AlCl3|Aluminium chloride,21
Solute 3,Li2S8|Lithium octasulfide,12
Solute 3,MgTfO2|Magnesium triflate,6
Solute 3,I2,6
Solute 3,Li2S5|Lithium pentasulfide,4
Solute 3,"PSD-90|Poly(sulfur-random-1,3-diisopropenylbenzene)",1
Solute 3,LiPF6|Lithium hexafluorophosphate,1
Solvent 1,"DOL|1,3-Dioxolane",4053
Solvent 1,"DME|1,2-Dimethoxyethane",3208
Solvent 1,EC|Ethylene carbonate,2821
Solvent 1,THF|Tetrahydrofuran,1113
Solvent 1,G2|DEGDME|Diglyme|Diethylene glycol dimethyl ether,683
Solvent 1,G4|Tetraglyme|Tetraethylene glycol dimethyl ether,347
Solvent 1,PC|Propylene carbonate,241
Solvent 1,H2O|Water,191
Solvent 1,G3|TEGDME|Triglyme|Triethylene glycol dimethyl ether,158
Solvent 1,ACN|AN|Acetonitrile,154
Solvent 1,Other Ethers,143
Solvent 1,DMC|Dimethyl carbonate,90
Solvent 1,DMSO|Dimethyl sulfoxide,82
Solvent 1,IL|Ionic liquid,76
Solvent 1,FEC|Fluoro ethylene carbonate,72
Solvent 1,EMC|Ethyl methyl carbonate,49
Solvent 1,FEC|Fuluoro ethylene carbonate,43
Solvent 1,TMP|Trimethyl phosphate,35
Solvent 1,Other Amides,35
Solvent 1,DEC|Diethyl carbonate,30
Solvent 1,SL|TMS|Sulfolane|Tetra methylene sulfone,17
Solvent 1,PYR14TFSI|N-butylN-methylpyrrolidinium bis (trsifluoromethane sulfonyl)imide,13
Solvent 1,"TTD|2-(2,2,2-trifluoroethoxy)-4-(trifluoromethyl)-1,3-dioxolane",12
Solvent 1,Other Sulfones,12
Solvent 1,Pyr13FSI | N-Propyl-N-methylpyrrolidinium bis(fluorosulfonyl)imide,9
Solvent 1,Other Phosphates,6
Solvent 1,DMM|dimethoxymethane,4
Solvent 1,HFE|Fluorinated|Hydrofrofluoro ether,3
Solvent 1,Other carbonates,3
Solvent 1,"DMA|N,N-Dimethylacetamide",3
Solvent 1,DMSi|dimethyl dimethoxy silicane,2
Solvent 1,Other Sulfoxides,1
Solvent 1,2-MeTHF|2-Methyl tetrahydrofuran,1
Solvent 1,Other polymers,1
Solvent 2,"DME|1,2-Dimethoxyethane",4122
Solvent 2,"DOL|1,3-Dioxolane",2105
Solvent 2,DEC|Diethyl carbonate,1326
Solvent 2,DMC|Dimethyl carbonate,844
Solvent 2,EMC|Ethyl methyl carbonate,345
Solvent 2,PC|Propylene carbonate,300
Solvent 2,EC|Ethylene carbonate,129
Solvent 2,"TTE|Tetrafluoroethyl 2,2,3,3-tetrafluoropropyl ether",84
Solvent 2,Other Ethers,53
Solvent 2,FEC|Fuluoro ethylene carbonate,51
Solvent 2,H2O|Water,47
Solvent 2,FEC|Fluoro ethylene carbonate,45
Solvent 2,IL|Ionic liquid,41
Solvent 2,G4|Tetraglyme|Tetraethylene glycol dimethyl ether,31
Solvent 2,G2|DEGDME|Diglyme|Diethylene glycol dimethyl ether,29
Solvent 2,Other carbonates,29
Solvent 2,G3|TEGDME|Triglyme|Triethylene glycol dimethyl ether,27
Solvent 2,THF|Tetrahydrofuran,26
Solvent 2,HFE|Fluorinated|Hydrofrofluoro ether,18
Solvent 2,"BTFE|Bis(2,2,2-trifluoroethyl) ether",15
Solvent 2,THF|tetrahydrofuran,12
Solvent 2,Other Sulfoxides,8
Solvent 2,"DMA|N,N-Dimethylacetamide",8
Solvent 2,PYR14TFSI|N-butylN-methylpyrrolidinium bis (trsifluoromethane sulfonyl)imide,7
Solvent 2,"TFEE|Ethylene glycol bis(1,1,2,2-tetrafluoroethyl) ether",5
Solvent 2,Other Amides,4
Solvent 2,"ETFE|Ethyl 1,1,2,2-tetrafluoroethyl ether",4
Solvent 2,TMP|Trimethyl phosphate,3
Solvent 2,Other Phosphates,3
Solvent 3,DEC|Diethyl carbonate,210
Solvent 3,FEC|Fluoro ethylene carbonate,196
Solvent 3,DMC|Dimethyl carbonate,184
Solvent 3,EMC|Ethyl methyl carbonate,172
Solvent 3,FEC|Fuluoro ethylene carbonate,139
Solvent 3,G3|TEGDME|Triglyme|Triethylene glycol dimethyl ether,24
Solvent 3,"DOL|1,3-Dioxolane",18
Solvent 3,EC|Ethylene carbonate,15
Solvent 3,VC|Vinylene carbonate,14
Solvent 3,"TTE|Tetrafluoroethyl 2,2,3,3-tetrafluoropropyl ether",13
Solvent 3,Other Amides,10
Solvent 3,PYR14TFSI|N-butylN-methylpyrrolidinium bis(trifluoromethane sulfonyl)imide,10
Solvent 3,Other carbonates,10
Solvent 3,IL|Ionic liquid,10
Solvent 3,PC|Propylene carbonate,8
Solvent 3,G2|DEGDME|Diglyme|Diethylene glycol dimethyl ether,7
Solvent 3,"BTFE|Bis(2,2,2-trifluoroethyl) ether",7
Solvent 3,Other Ethers,6
Solvent 3,G4|Tetraglyme|Tetraethylene glycol dimethyl ether,6
Solvent 3,DMSO|Dimethyl sulfoxide,4
Solvent 3,"DME|1,2-Dimethoxyethane",3
Solvent 3,H2O|Water,2
Solvent 3,Other polymers,2
ThermalMeaasurement,Other,2
ThermalMeaasurement,LaserFlash,1
ThermalMeasurement,LaserFlash,5274
ThermalMeasurement,LaserFlash+DSC,1831
ThermalMeasurement,Other,951
ThermalMeasurement,PPMS-TTO,758
ThermalMeasurement,LaserFlash+3R,375
ThermalMeasurement,3omega,204
ThermalMeasurement,PPMS,123
ThermalMeasurement,SteadyStateMethod,120
ThermalMeasurement,LaserFlash + Neumann-Kopp rule,104
ThermalMeasurement,Disc,92
ThermalMeasurement,LampFlash,48
ThermalMeasurement,ThermoReflectance,36
ThermalMeasurement,Harman,36
ThermalMeasurement,Transient plane source,22
ThermalMeasurement,Hot Disk,21
ThermalMeasurement,LampFlash+DSC,4
ThermalMeasurement,LampFlash+3R,1
Upper voltage limit,V,2983
Working electrode,Pt|Platinum,220
Working electrode,Cu|Copper,59
Working electrode,SUS|SS|Stainless Steel,51
Working electrode,Al|Aluminum,23
Working electrode,Carbon,22
Working electrode,Graphite,21
Working electrode,Au|Gold,15
Working electrode,SUS304,9
Working electrode,Ni|Nickel,4
Working electrode,SUS316,2
annealing condition,"temp, time",386
coercivity,low,8
coercivity,0,4
coercivity,55732,4
coercivity,4.38*10^3,3
coercivity,13.93*10^3,3
coercivity,27866,3
coercivity,11943,3
coercivity,1.1,3
coercivity,15916,3
coercivity,23885,3
coercivity,33439,3
coercivity,3583,3
coercivity,445,2
coercivity,604.3*10^3,2
coercivity,508.8*10^3,2
coercivity,388.5*10^3,2
coercivity,587.6*10^3,2
coercivity,226.91*10^3,2
coercivity,47.77*10^3,2
coercivity,0.7*10^3,2
coercivity,3.18*10^3,2
coercivity,3.49*10^3,2
coercivity,1.96*10^3,2
coercivity,3.34*10^3,2
coercivity,3.46*10^3,2
coercivity,13.2,2
coercivity,151,2
coercivity,1.95*10^3,2
coercivity,499.36*10^3,2
coercivity,630.81*10^3,2
coercivity,13.81*10^3,2
coercivity,159.24*10^3,2
coercivity,154618,2
coercivity,16480,2
coercivity,4.53*10^3,2
coercivity,10.19*10^3,2
coercivity,11141,2
coercivity,14165,2
coercivity,4.3*10^3,2
coercivity,31.85*10^3,2
coercivity,30.45*10^3,2
coercivity,33041,2
coercivity,1035191,2
coercivity,524761,2
coercivity,712978,2
coercivity,8.96*10^3,2
coercivity,188137,2
coercivity,116.00*10^3,2
coercivity,120.54*10^3,2
coercivity,158.68*10^3,2
coercivity,181.29*10^3,2
coercivity,160.27*10^3,2
coercivity,2.3,2
coercivity,15120,2
coercivity,5016,2
coercivity,50695,2
coercivity,31.91,2
coercivity,12739,2
coercivity,17516,2
coercivity,79164,2
coercivity,9896,2
coercivity,159160,2
coercivity,676752,2
coercivity,1.3,2
coercivity,2,2
coercivity,16.1,2
coercivity,51387,2
coercivity,26274,2
coercivity,310510,2
coercivity,15924,2
coercivity,31847,2
coercivity,8997,2
coercivity,5573,2
coercivity,717,2
coercivity,6768,2
coercivity,12960,2
coercivity,13070,2
coercivity,6051,2
coercivity,5175,2
coercivity,2866,2
coercivity,232245,2
coercivity,2372611,2
coercivity,358280,2
coercivity,58917,2
coercivity,5096,2
coercivity,123408,2
coercivity,59767,2
coercivity,20171,2
coercivity,21384,2
coercivity,18228,2
coercivity,16227,2
coercivity,1448356,1
coercivity,986792,1
coercivity,0.03*10^3,1
coercivity,17.3*10^3,1
coercivity,27.9*10^3,1
coercivity,19.3*10^3,1
coercivity,17.69*10^6,1
coercivity,11.44*10^6,1
coercivity,1018*10^3,1
coercivity,924*10^3,1
coercivity,915*10^3,1
coercivity,0.41,1
coercivity,0.73,1
coercivity,2.11,1
coercivity,1.33,1
coercivity,1.54,1
coercivity,40681,1
coercivity,16361,1
coercivity,12818,1
coercivity,75617,1
coercivity,95518,1
coercivity,79331,1
coercivity,7516,1
coercivity,7070,1
coercivity,5303,1
coercivity,138.2*10^3,1
coercivity,377.9*10^3,1
coercivity,301*10^3,1
coercivity,354*10^3,1
coercivity,315.9*10^3,1
coercivity,247.9*10^3,1
coercivity,403.1*10^3,1
coercivity,449.9*10^3,1
coercivity,99.5*10^3,1
coercivity,136.1*10^3,1
coercivity,173.6*10^3,1
coercivity,82.0*10^3,1
coercivity,85.2*10^3,1
coercivity,169.6*10^3,1
coercivity,184.7*10^3,1
coercivity,0.59*10^3,1
coercivity,5.03*10^3,1
coercivity,2.68,1
coercivity,13.47*10^3,1
coercivity,17.04*10^3,1
coercivity,"18,59*10^3",1
coercivity,27.1*10^3,1
coercivity,47.61*10^3,1
coercivity,80.73*10^3,1
coercivity,222.93*10^3,1
coercivity,106.53*10^3,1
coercivity,83.60*10^3,1
coercivity,95.54*10^3,1
coercivity,97.53*10^3,1
coercivity,96.34*10^3,1
coercivity,214.97*10^3,1
coercivity,107*10^3,1
coercivity,268*10^3,1
coercivity,223*10^3,1
coercivity,150*10^3,1
coercivity,1.84*10^3,1
coercivity,4.16*10^3,1
coercivity,5.37*10^3,1
coercivity,43*10^3,1
coercivity,51.8*10^3,1
coercivity,100.5*10^3,1
coercivity,26.2*10^3,1
coercivity,25.9*10^3,1
coercivity,255.7*10^3,1
coercivity,"4,4*10^3",1
coercivity,2.1*10^3,1
coercivity,0.05*10^3,1
coercivity,6.9*10^3,1
coercivity,3.2*10^3,1
coercivity,0.1*10^3,1
coercivity,0.6*10^3,1
coercivity,1.3*10^3,1
coercivity,0.9*10^3,1
coercivity,1.2*10^3,1
coercivity,467.4*10^3,1
coercivity,488.5*10^3,1
coercivity,124.9*10^3,1
coercivity,288.9*10^3,1
coercivity,260.2*10^3,1
coercivity,328.9*10^3,1
coercivity,397.0*10^3,1
coercivity,442.7*10^3,1
coercivity,224.2*10^3,1
coercivity,292.2*10^3,1
coercivity,320.0*10^3,1
coercivity,3.70*10^3,1
coercivity,5.65*10^3,1
coercivity,2.73*10^3,1
coercivity,3.22*10^3,1
coercivity,1.63*10^3,1
coercivity,3.05*10^3,1
coercivity,2.07*10^3,1
coercivity,3.86*10^3,1
coercivity,368.39*10^3,1
coercivity,336.31*10^3,1
coercivity,93065,1
coercivity,92731,1
coercivity,71959,1
coercivity,63846,1
coercivity,73.9,1
coercivity,22.4,1
coercivity,40.2,1
coercivity,37.69*10^3,1
coercivity,37.68*10^3,1
coercivity,"68,9*10^3",1
coercivity,64.6*10^3,1
coercivity,69*10^3,1
coercivity,30.33*10^3,1
coercivity,35.9*10^3,1
coercivity,47.98*10^3,1
coercivity,77.23*10^3,1
coercivity,107.48*10^3,1
coercivity,50.96*10^3,1
coercivity,74.04*10^3,1
coercivity,91.56*10^3,1
coercivity,132.96*10^3,1
coercivity,9.63*10^3,1
coercivity,8.68*10^3,1
coercivity,9.24*10^3,1
coercivity,10.75*10^3,1
coercivity,64.49*10^3,1
coercivity,18.47*10^3,1
coercivity,33.28*10^3,1
coercivity,15.13*10^3,1
coercivity,13.54*10^3,1
coercivity,14.57*10^3,1
coercivity,31.37*10^3,1
coercivity,360,1
coercivity,244,1
coercivity,95,1
coercivity,405,1
coercivity,304,1
coercivity,38.7,1
coercivity,1.79*10^3,1
coercivity,"1,78*10^3",1
coercivity,712.81*10^3,1
coercivity,519.34*10^3,1
coercivity,944.67*10^3,1
coercivity,719.82*10^3,1
coercivity,334.4*10^3,1
coercivity,249.2*10^3,1
coercivity,226.9*10^3,1
coercivity,3781,1
coercivity,8445,1
coercivity,13160,1
coercivity,3937.,1
coercivity,4647,1
coercivity,3987,1
coercivity,6997,1
coercivity,14968,1
coercivity,16999,1
coercivity,53063.,1
coercivity,752.9*10^3,1
coercivity,42.27,1
coercivity,245.14,1
coercivity,47.53,1
coercivity,26.18*10^3,1
coercivity,26.95*10^3,1
coercivity,"25,86*10^3",1
coercivity,25.55*10^3,1
coercivity,24.68*10^3,1
coercivity,26.7*10^3,1
coercivity,21.74*10^3,1
coercivity,24.86*10^3,1
coercivity,12.72*10^3,1
coercivity,17.91*10^3,1
coercivity,60.11*10^3,1
coercivity,4.45*10^3,1
coercivity,7.96*10^3,1
coercivity,289.25*10^3,1
coercivity,462.98*10^3,1
coercivity,498.25*10^3,1
coercivity,4.90*10^3,1
coercivity,92.68*10^3,1
coercivity,466.88*10^3,1
coercivity,470.86*10^3,1
coercivity,378.9*10^3,1
coercivity,15.56*10^3,1
coercivity,65.6*10^3,1
coercivity,9.72*10^3,1
coercivity,13.92*10^3,1
coercivity,"5,15*10^3",1
coercivity,10.12*10^3,1
coercivity,345.04*10^3,1
coercivity,40.72*10^3,1
coercivity,40.13*10^3,1
coercivity,16.27*10^3,1
coercivity,71.47*10^3,1
coercivity,17.87*10^3,1
coercivity,224.45*10^3,1
coercivity,"46,05*10^3",1
coercivity,37.77*10^3,1
coercivity,37.54*10^3,1
coercivity,359.24*10^3,1
coercivity,244.04*10^3,1
coercivity,279.70*10^3,1
coercivity,290.29*10^3,1
coercivity,317.52*10^3,1
coercivity,345.62*10^3,1
coercivity,400.16*10^3,1
coercivity,405.39*10^3,1
coercivity,415.45*10^3,1
coercivity,418.63*10^3,1
coercivity,311.62*10^3,1
coercivity,318.71*10^3,1
coercivity,359.07*10^3,1
coercivity,275.14*10^3,1
coercivity,131.80*10^3,1
coercivity,88.74*10^3,1
coercivity,46.42*10^3,1
coercivity,110.27*10^33,1
coercivity,40872,1
coercivity,238.85*10^3,1
coercivity,175.16*10^3,1
coercivity,156449,1
coercivity,156847,1
coercivity,158360,1
coercivity,155255,1
coercivity,157484,1
coercivity,710510,1
coercivity,796178,1
coercivity,4.7*10^3,1
coercivity,3.79*10^3,1
coercivity,8391,1
coercivity,12116,1
coercivity,14348,1
coercivity,2.61*10^3,1
coercivity,1.34*10^3,1
coercivity,1.72*10^3,1
coercivity,3.5*10^3,1
coercivity,1158.37,1
coercivity,1194.29,1
coercivity,990.48,1
coercivity,96,1
coercivity,510,1
coercivity,165,1
coercivity,887.93,1
coercivity,921.25,1
coercivity,130,1
coercivity,"5,88*10^3",1
coercivity,6.34*10^3,1
coercivity,4.99*10^3,1
coercivity,4029,1
coercivity,0.27*10^3,1
coercivity,1.38*10^3,1
coercivity,1.85*10^3,1
coercivity,2.69*10^3,1
coercivity,"2,54*10-3",1
coercivity,1.87*10^3,1
coercivity,270,1
coercivity,21750,1
coercivity,5720,1
coercivity,20560,1
coercivity,16350,1
coercivity,10.35*10^3,1
coercivity,7.56*10^3,1
coercivity,19.43*10^3,1
coercivity,5.57*10^3,1
coercivity,10.11*10^3,1
coercivity,9708,1
coercivity,14006,1
coercivity,14722,1
coercivity,14642,1
coercivity,"3,42*10^3",1
coercivity,756,1
coercivity,2324,1
coercivity,29013,1
coercivity,33049,1
coercivity,33806,1
coercivity,1027,1
coercivity,1234,1
coercivity,2245,1
coercivity,13790,1
coercivity,11051,1
coercivity,35995,1
coercivity,69.89*10^3,1
coercivity,379.37*10^3,1
coercivity,29.95*10^3,1
coercivity,"27,6*10^3",1
coercivity,"28,23*10^3",1
coercivity,5.6*10^3,1
coercivity,8.31*10^3,1
coercivity,5.51*10^3,1
coercivity,4.79*10^3,1
coercivity,75.26*10^3,1
coercivity,69.87*10^3,1
coercivity,63.14*10^3,1
coercivity,54.29*10^3,1
coercivity,6.02*10^3,1
coercivity,"6,15*10^3",1
coercivity,7.91*10^3,1
coercivity,5.02*10^3,1
coercivity,"196,65*10^3",1
coercivity,226.59*10^3,1
coercivity,147.29*10^3,1
coercivity,63.69*10^3,1
coercivity,56.53*10^3,1
coercivity,139.09*10^3,1
coercivity,20541,1
coercivity,44048,1
coercivity,24283,1
coercivity,19506,1
coercivity,39490,1
coercivity,26592,1
coercivity,23089,1
coercivity,23726,1
coercivity,19427,1
coercivity,63217,1
coercivity,58280,1
coercivity,43312,1
coercivity,374203,1
coercivity,748408,1
coercivity,270572,1
coercivity,8041,1
coercivity,8439,1
coercivity,29140,1
coercivity,690.76*10^3,1
coercivity,743.15*10^3,1
coercivity,681.52*10^3,1
coercivity,19.35*10^3,1
coercivity,2.14*10^3,1
coercivity,4.93*10^3,1
coercivity,7.40*10^3,1
coercivity,10.84*10^3,1
coercivity,4.52*10^3,1
coercivity,7.07*10^3,1
coercivity,3.62*10^3,1
coercivity,53*10^3,1
coercivity,52.06*10^3,1
coercivity,104.85*10^3,1
coercivity,59.87*10^3,1
coercivity,50;2*10^3,1
coercivity,38296,1
coercivity,33598,1
coercivity,705573,1
coercivity,101433,1
coercivity,8.39*10^3,1
coercivity,8.30*10^3,1
coercivity,12.12*10^3,1
coercivity,9584,1
coercivity,11134,1
coercivity,14699,1
coercivity,24116,1
coercivity,1.03*10^3,1
coercivity,0.65*10^3,1
coercivity,1760,1
coercivity,55706,1
coercivity,167118,1
coercivity,254656,1
coercivity,222824,1
coercivity,300000,1
coercivity,264.6*10^3,1
coercivity,247.6*10^3,1
coercivity,235.7*10^3,1
coercivity,6249,1
coercivity,6971,1
coercivity,7618,1
coercivity,5996,1
coercivity,4271,1
coercivity,2347.61*10^3,1
coercivity,2244.16*10^3,1
coercivity,2435.15*10^3,1
coercivity,3684.55*10^3,1
coercivity,23.41*10^3,1
coercivity,11.46*10^3,1
coercivity,12.1*10^3,1
coercivity,21.42*10^3,1
coercivity,12.73*10^3,1
coercivity,"64,46*10^3",1
coercivity,"955,41*10^3",1
coercivity,732.48*10^3,1
coercivity,589.17*10^3,1
coercivity,374.2*10^3,1
coercivity,135.35*10^3,1
coercivity,47.75*10^3,1
coercivity,120.17*10^3,1
coercivity,35.02*10^3,1
coercivity,3.64*10^3,1
coercivity,4.04*10^3,1
coercivity,3.81*10^3,1
coercivity,3.89*10^3,1
coercivity,3.92*10^3,1
coercivity,3.57*10^3,1
coercivity,"7,93*10^3",1
coercivity,8.62*10^3,1
coercivity,7.30*10^3,1
coercivity,"4,24*10^3",1
coercivity,6.92*10^3,1
coercivity,6.74*10^3,1
coercivity,270.577*10^3,1
coercivity,254.656*10^3,1
coercivity,294.446*10^3,1
coercivity,7.7,1
coercivity,5.9,1
coercivity,6.5,1
coercivity,5.6,1
coercivity,840000,1
coercivity,680000,1
coercivity,815000,1
coercivity,640,1
coercivity,32,1
coercivity,36,1
coercivity,41,1
coercivity,"2,325*10^3",1
coercivity,2.277*10^3,1
coercivity,2.444*10^3,1
coercivity,2.938*10^3,1
coercivity,1563.8,1
coercivity,1699,1
coercivity,4490.7,1
coercivity,3954.3,1
coercivity,3747.4,1
coercivity,7127.2,1
coercivity,6496.9,1
coercivity,7505.9,1
coercivity,9587.8,1
coercivity,4576.7,1
coercivity,840,1
coercivity,690,1
coercivity,141.95*10^3,1
coercivity,151.51*10^3,1
coercivity,153.26*10^3,1
coercivity,151.67*10^3,1
coercivity,175.24*10^3,1
coercivity,152.15*10^3,1
coercivity,135.83*10^3,1
coercivity,691.08*10^3,1
coercivity,697.45*10^3,1
coercivity,122239.65,1
coercivity,80846.34,1
coercivity,182390.13,1
coercivity,4384858,1
coercivity,2204366,1
coercivity,111412,1
coercivity,2640,1
coercivity,2400,1
coercivity,934,1
coercivity,4.87*10^3,1
coercivity,1.99*10^3,1
coercivity,3.04*10^3,1
coercivity,11.65*10^3,1
coercivity,"7,36*10^3",1
coercivity,"2,31*10^4",1
coercivity,3.94*10^5,1
coercivity,2.49*10^5,1
coercivity,3.03*10^5,1
coercivity,3.35*10^5,1
coercivity,1.47*10^5,1
coercivity,4.69*10^5,1
coercivity,3.91*10^5,1
coercivity,1.36*10^5,1
coercivity,509.84*10^3,1
coercivity,485.24*10^3,1
coercivity,475.01*10^3,1
coercivity,"428,11",1
coercivity,407.46*10^3,1
coercivity,478.17*10^3,1
coercivity,483.66*10^3,1
coercivity,434.81*10^3,1
coercivity,462.47*10^3,1
coercivity,40.45*10^3,1
coercivity,173646,1
coercivity,109.71*10^3,1
coercivity,122.97*10^3,1
coercivity,102.3*10^3,1
coercivity,108.5*10^3,1
coercivity,129.96*10^3,1
coercivity,6457,1
coercivity,35119,1
coercivity,22948,1
coercivity,6252,1
coercivity,54468,1
coercivity,42.09*10^3,1
coercivity,37.92*10^3,1
coercivity,245.9022,1
coercivity,1161.868,1
coercivity,20.86*10^3,1
coercivity,23.57*10^3,1
coercivity,6.29*10^3,1
coercivity,6.36*10^3,1
coercivity,27.07*10^3,1
coercivity,"85,19*10^3",1
coercivity,9.10*10^3,1
coercivity,"67,90*10^3",1
coercivity,6.66*10^3,1
coercivity,"6,85*10^3",1
coercivity,"7,68*10^3",1
coercivity,15.61*10^3,1
coercivity,12.5*10^3,1
coercivity,13.06*10^3,1
coercivity,12.02*10^3,1
coercivity,15.84*10^3,1
coercivity,15.68*10^3,1
coercivity,14.97*10^3,1
coercivity,12.90*10^3,1
coercivity,541.381,1
coercivity,882.369,1
coercivity,460.834,1
coercivity,602.44,1
coercivity,176700,1
coercivity,47370,1
coercivity,173500,1
coercivity,173000,1
coercivity,160300,1
coercivity,234000,1
coercivity,198400,1
coercivity,13217,1
coercivity,31688,1
coercivity,4.46*10^3,1
coercivity,289,1
coercivity,266,1
coercivity,380,1
coercivity,452,1
coercivity,255.57*10^3,1
coercivity,131.37*10^3,1
coercivity,248.81*10^3,1
coercivity,18.31*10^3,1
coercivity,14.17*10^3,1
coercivity,5.2,1
coercivity,1.0,1
coercivity,0.2,1
coercivity,14324,1
coercivity,8753,1
coercivity,12732,1
coercivity,7958,1
coercivity,1129,1
coercivity,982,1
coercivity,2525,1
coercivity,3179,1
coercivity,3618,1
coercivity,2740,1
coercivity,3517,1
coercivity,3989,1
coercivity,4283,1
coercivity,1878,1
coercivity,1298,1
coercivity,2848,1
coercivity,3971,1
coercivity,3064,1
coercivity,75.16*10^3,1
coercivity,74.6*10^3,1
coercivity,76.35*10^3,1
coercivity,75.96*10^3,1
coercivity,76.91*10^3,1
coercivity,675.96*10^3,1
coercivity,688.46*10^3,1
coercivity,31.85,1
coercivity,31.84,1
