prop_x,prop_y,curves,data_points
Carrier concentration,Carrier concentration,3,34
Annealing Temperature,Electrical resistivity,3,18
Bi2Te3 nanoparticle fraction (vol %),ZT,3,18
Time Lapse,Conversion Voltage,3,58
Dopant Concentration,Power factor,3,22
Annealing Temperature,Thermal conductivity,3,16
Annealing Temperature,ZT,3,16
BFCZO1 at 20K  Zoomed,magnetization_per_weight,3,34
Time,Open circuit voltage,3,287
Annealing Temperature,Electrical conductivity,3,16
concentrations,thermopower,3,10
wavelength,-log(T+R),3,65
1/T^(-1/4),ln(Electrical resistivity),3,49
position,Seebeck coefficient,3,37
Temperature,Phonon transmission function,3,407
GNF content (wt%),Thermal conductivity,3,3
Temperature (oC),Hall coefficient,3,32
Carrier concentration,Thermal conductivity,3,26
Density,Electrical conductivity,3,1
distance,ZT,3,30
diameter,Electrical conductivity,3,26
Carrier concentration,Lattice thermal conductivity,3,24
T^2/1000,Magnetic susceptibility_per_weight,3,98
Temperature,Electrical conductivity0,3,51
T^2,Specific Heat K^2,3,21
Temperature,Magnetic Field,3,25
Micro diamond content [vol%],Thermal conductivity,3,12
Nb content,Electrical resistivity,3,12
Nb content,Temperature Coefficient of Resistivity,3,19
PRESSURE,Electrical conductivity,3,9
Magnetization,magnetic susceptibility,3,51
SWCNTs content (wt%),Power factor,3,16
SWCNTs content (wt%),Seebeck coefficient,3,16
T^(-1),Thermal conductivity,3,22
PEI,Electrical conductivity,3,12
PRESSURE,Power factor,3,9
PRESSURE,Seebeck coefficient,3,9
Seebeck coefficient,Electrical conductivity,3,9
T,Resistance,3,0
Proportion of interface layer (%),Thermal conductivity,3,15
T^(-1/4),ln(Electrical conductivity),3,157
diameter,Seebeck coefficient,3,25
Temperature,Temperature Coefficient of Resistivity,3,28
Electrical conductivity,ZT,3,15
Expanded graphite content (vol),Thermal conductivity,3,29
"Lattice constant, d","A, |T|, |R|",3,96
Inversed Temperature,surface resistance,3,50
1000/T,ln(T/ρ),3,26
1000/T,Conductivity,3,24
Time,Resistance,2,115
BN content (wt %),Thermal conductivity,2,10
1/3 Octave Band Freqency,SPL,2,40
wt% F4TCNQ:P3HT,Seebeck coefficient,2,24
1/T,Carrier Density n,2,60
wt% F4TCNQ:P3HT,Power factor,2,23
width,Seebeck coefficient,2,8
wt% F4TCNQ:P3HT,Electrical conductivity,2,22
T,magnetization_per_mol,2,106
T,Thermal diffusivity,2,16
T,Specific heat_K,2,88
SDBS,Thermopower,2,6
SDBS,Electrical conductivity,2,6
Time,O2,2,10
Dopant Concentration,Electrical conductivity,2,22
Temperature,remanence_weight,2,62
Conductivity,Seebeck  coefficient,2,27
Dopant Concentration,Carrier concentration,2,7
Temperature,Elastic modulus,2,175
Pressure,Electrical resistivity,2,28
PRESSURE,Sab,2,80
T^(-1/2),Electrical conductivity,2,21
Magnetization,Magnetization,2,43
Nanowire diameter,Electrical conductivity,2,6
Temperature,Magnetic field strength (H),2,19
Hall concentration,Hall mobility,2,66
Frequency,Power/frequency,2,261
Temperature,magnetoresistance,2,17
Filler content (phr),Thermal conductivity,2,5
Temperature (oC),Thermal conductivity,2,20
Inverse temperature,Hall mobility,2,14
Inverse temperature,Electronic thermal conductivity,2,14
Doping level,Carrier concentration,2,13
Magnetic field,Thermal conductivity,2,38
Magnetic field,Specific heat,2,41
Magnetic field,Magnetic susceptibility_volume,2,67
